Time,Pos_x,Pos_y,Pos_z,Rot_x,Rot_y,Rot_z,Rot_w,Wind Speed,Wind Direction
1900-01-01T21:07:41,303.168976,1166.039062,-85.433167,-0.161058,0.663982,0.706999,0.182594,2.78,53.0
1900-01-01T21:07:42,564.770569,1162.838013,-165.896942,-0.144797,0.657272,0.716390,0.183885,3.31,45.0
1900-01-01T21:07:43,627.542603,1161.426147,6.996681,-0.157637,0.653881,0.716802,0.183807,3.13,38.0
1900-01-01T21:07:44,668.746948,1165.356567,183.554596,-0.175309,0.655048,0.706014,0.204262,2.92,27.0
1900-01-01T21:07:45,798.724609,1160.790894,250.404541,-0.228900,0.631179,0.691254,0.267181,2.86,36.0
1900-01-01T21:07:46,992.076782,1170.541016,60.654842,-0.168295,0.654561,0.701641,0.225670,0.79,43.0
1900-01-01T21:07:47,1260.172485,1153.463867,42.991974,-0.205952,0.637456,0.709403,0.219047,0.27,351.0
1900-01-01T21:07:48,1434.943237,1128.061157,57.735554,-0.152098,0.647478,0.724451,0.181131,1.84,45.0
1900-01-01T21:07:49,1353.206543,1130.448608,95.890709,-0.206747,0.635626,0.710462,0.220178,0.72,351.0
1900-01-01T21:07:50,1288.507446,1202.041382,147.463959,-0.231783,0.642011,0.688921,0.243900,0.55,344.0
1900-01-01T21:07:51,1260.886719,1353.633545,142.901779,-0.244282,0.654808,0.673964,0.239428,0.68,324.0
1900-01-01T21:07:52,1220.109741,1454.364868,95.810570,-0.248157,0.669063,0.660220,0.234270,0.4,327.0
1900-01-01T21:07:53,1180.285034,1387.877319,36.308708,-0.202591,0.666575,0.687825,0.203792,0.57,341.0
1900-01-01T21:07:54,1037.747070,1415.211548,34.946884,-0.187400,0.686509,0.677167,0.187164,0.44,325.0
1900-01-01T21:07:55,832.813354,1415.138062,183.090500,-0.203039,0.691264,0.659055,0.215813,0.54,345.0
1900-01-01T21:07:56,645.334290,1422.426392,186.417908,-0.136979,0.706381,0.679029,0.145541,0.53,322.0
1900-01-01T21:07:57,417.748688,1414.064453,289.880402,-0.143611,0.712626,0.665706,0.168451,0.27,336.0
1900-01-01T21:07:58,185.749069,1421.536255,348.627625,-0.114413,0.717010,0.677080,0.119871,0.25,32.0
1900-01-01T21:07:59,-166.633759,1390.418579,421.519684,-0.170999,0.692133,0.682859,0.159421,0.09,6.0
1900-01-01T21:08:00,-483.921478,1388.803223,597.601746,-0.265293,0.692909,0.642513,0.191504,0.36,35.0
1900-01-01T21:08:01,-761.643738,1363.354980,633.154724,-0.177602,0.702726,0.667594,0.170154,0.47,335.0
1900-01-01T21:08:02,-1081.799194,1357.910767,787.446350,-0.203687,0.695945,0.661863,0.190025,1.04,350.0
1900-01-01T21:08:03,-1280.937622,1331.051025,838.677673,-0.167236,0.701394,0.672076,0.168499,1.96,22.0
1900-01-01T21:08:04,-1160.183594,1295.231323,581.716003,-0.062928,0.717051,0.690194,0.074236,1.16,343.0
1900-01-01T21:08:05,-726.294006,1299.704834,423.400848,-0.150861,0.691143,0.699830,0.098993,1.28,340.0
1900-01-01T21:08:06,-365.114655,1313.943359,277.827759,-0.221745,0.667851,0.682404,0.197810,1.36,350.0
1900-01-01T21:08:07,192.177551,1332.025635,282.364532,-0.140982,0.722712,0.665332,0.123065,0.94,35.0
1900-01-01T21:08:08,1178.161377,1284.954224,-325.849854,0.178520,0.683496,0.680480,-0.194708,0.29,316.0
1900-01-01T21:08:09,1263.145752,1290.011230,-406.084808,0.195633,0.663768,0.670052,-0.268646,0.27,278.0
1900-01-01T21:08:10,1263.145752,1290.011230,-406.084808,0.195633,0.663768,0.670052,-0.268646,0.23,269.0
1900-01-01T21:08:11,1263.145752,1290.011230,-406.084808,0.195633,0.663768,0.670052,-0.268646,0.18,255.0
1900-01-01T21:08:12,1263.145752,1290.011230,-406.084808,0.195633,0.663768,0.670052,-0.268646,0.24,259.0
